,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
136,1996,NBA,1,7,LAC,Lorenzen Wright\wrighlo02,20.240,F-C,us,University of Memphis,1997,2009,778,23.8,8.0,6.4,0.8,0.6,0.7,.459,.461,.069,.645,30.5,.079
137,1997,NBA,1,7,NJN,Tim Thomas\thomati01,20.124,F,us,Villanova University,1998,2010,824,25.9,11.5,4.1,1.5,0.7,0.4,.437,.470,.369,.758,35.2,.079
138,1998,NBA,1,7,SAC,Jason Williams\willija02,22.224,G,us,University of Florida,1999,2011,788,29.4,10.5,2.3,5.9,1.2,0.1,.398,.467,.327,.813,38.5,.080
139,1999,NBA,1,7,WAS,Richard Hamilton\hamilri01,21.141,G-F,us,University of Connecticut,2000,2013,921,32.1,17.1,3.1,3.4,0.8,0.1,.449,.463,.346,.852,62.8,.102
140,2000,NBA,1,7,CHI,Chris Mihm\mihmch01,20.353,C,us,University of Texas at Austin,2001,2009,436,20.1,7.5,5.3,0.5,0.3,1.0,.459,.460,.231,.704,13.3,.073
141,2001,NBA,1,7,NJN,Eddie Griffin\griffed01,19.033,F-C,us,Seton Hall University,2002,2007,303,22.2,7.2,5.8,0.8,0.3,1.7,.377,.408,.315,.671,10.9,.078
142,2003,NBA,1,7,CHI,Kirk Hinrich\hinriki01,22.180,G,us,University of Kansas,2004,2016,879,30.7,10.9,2.9,4.8,1.1,0.3,.411,.432,.375,.800,52.5,.093
143,2004,NBA,1,7,PHO,Luol Deng\denglu01,19.074,F,ss,Duke University,2005,2018,880,34.7,15.0,6.1,2.3,1.0,0.5,.455,.481,.332,.770,73.2,.115
144,2005,NBA,1,7,TOR,Charlie Villanueva\villach01,20.313,F,us,University of Connecticut,2006,2016,656,20.7,10.4,4.6,0.8,0.5,0.5,.435,.484,.341,.772,22.6,.080
145,2006,NBA,1,7,BOS,Randy Foye\foyera01,22.283,G,us,Villanova University,2007,2017,752,25.6,10.3,2.2,2.8,0.7,0.3,.401,.429,.366,.852,23.5,.058
146,2007,NBA,1,7,MIN,Corey Brewer\breweco01,21.120,F-G,us,University of Florida,2008,2018,730,23.7,9.1,2.8,1.6,1.3,0.3,.424,.478,.282,.712,19.6,.054
147,2008,NBA,1,7,LAC,Eric Gordon\gordoer01,19.188,G,us,Indiana University,2009,2018,508,33.4,16.7,2.5,3.2,1.0,0.3,.430,.469,.377,.818,27.6,.078
148,2009,NBA,1,7,GSW,Stephen Curry\curryst01,21.108,G,us,Davidson College,2010,2018,591,34.6,22.9,4.4,6.8,1.8,0.2,.476,.509,.436,.903,87.3,.205
149,2010,NBA,1,7,DET,Greg Monroe\monrogr01,20.025,C-F,us,Georgetown University,2011,2018,547,29.5,14.0,8.7,2.2,1.1,0.6,.512,.513,.000,.705,45.6,.136
150,2012,NBA,1,7,GSW,Harrison Barnes\barneha02,20.034,F,us,University of North Carolina,2013,2018,405,29.9,12.3,4.8,1.5,0.7,0.2,.453,.482,.368,.779,23.2,.092
151,2013,NBA,1,7,SAC,Ben McLemore\mclembe01,20.141,G,us,University of Kansas,2014,2018,299,25.3,9.3,2.6,1.2,0.7,0.2,.416,.468,.349,.780,3.8,.024
152,2014,NBA,1,7,LAL,Julius Randle\randlju01,19.214,F-C,us,University of Kentucky,2015,2018,175,27.7,12.2,9.1,2.5,0.6,0.5,.465,.479,.270,.713,6.2,.061
153,2016,NBA,1,7,DEN,Jamal Murray\murraja01,19.125,G,ca,University of Kentucky,2017,2018,100,22.3,10.6,2.7,2.1,0.6,0.3,.412,.485,.324,.892,2.1,.044
154,2017,NBA,1,7,MIN,Lauri Markkanen\markkla01,20.036,F,fi,University of Arizona,2018,2018,16,30.5,14.6,8.3,1.5,0.6,0.6,.413,.506,.342,.791,0.8,.080
155,1992,NBA,1,8,MIL,Todd Day\dayto01,22.174,G-F,us,University of Arkansas,1993,2001,483,25.3,12.3,3.4,1.5,1.1,0.6,.406,.435,.345,.739,17.5,.069
156,1993,NBA,1,8,MIL,Vin Baker\bakervi01,21.225,F,us,University of Hartford,1994,2006,791,32.5,15.0,7.4,1.9,0.7,1.0,.485,.490,.215,.638,47.0,.088
157,1994,NBA,1,8,SAC,Brian Grant\grantbr01,22.121,F,us,Xavier University,1995,2006,756,28.3,10.5,7.4,1.2,0.6,0.7,.490,.491,.214,.746,54.5,.122
158,1995,NBA,1,8,POR,Shawn Respert\respesh01,23.148,G,us,Michigan State University,1996,1999,172,13.7,4.9,1.3,1.0,0.5,0.0,.414,.459,.340,.816,2.1,.043
159,1996,NBA,1,8,NJN,Kerry Kittles\kittlke01,22.020,G,us,Villanova University,1997,2005,507,33.4,14.1,3.9,2.6,1.6,0.4,.439,.463,.378,.780,44.8,.127
160,1997,NBA,1,8,GSW,Adonal Foyle\foylead01,22.114,C,vc,Colgate University,1998,2009,733,17.8,4.1,4.7,0.5,0.4,1.6,.477,.477,.000,.499,18.7,.069
161,1998,NBA,1,8,PHI,Larry Hughes\hughela01,19.157,G,us,Saint Louis University,1999,2012,727,30.8,14.1,4.2,3.1,1.5,0.4,.406,.428,.309,.757,32.3,.069
162,1999,NBA,1,8,CLE,Andre Miller\millean02,23.108,G,us,University of Utah,2000,2016,1304,30.9,12.5,3.7,6.5,1.2,0.2,.461,.478,.217,.807,100.8,.120
163,2000,NBA,1,8,CLE,Jamal Crawford\crawfja01,20.105,G,us,University of Michigan,2001,2018,1200,30.4,15.2,2.3,3.5,0.9,0.2,.410,.448,.350,.862,59.7,.079
164,2002,NBA,1,8,LAC,Chris Wilcox\wilcoch01,19.301,F,us,University of Maryland,2003,2013,628,19.9,8.2,4.9,0.7,0.5,0.4,.541,.543,.000,.643,26.9,.103
165,2003,NBA,1,8,MIL,T.J. Ford\fordtj01,20.099,G,us,University of Texas at Austin,2004,2012,429,27.7,11.2,3.1,5.8,1.2,0.1,.433,.450,.289,.815,16.9,.068
166,2004,NBA,1,8,TOR,Rafael Araujo\araujra01,23.322,C,br,Brigham Young University,2005,2007,139,11.4,2.8,2.8,0.3,0.4,0.1,.405,.407,.250,.679,-0.4,-0.013
167,2005,NBA,1,8,NYK,Channing Frye\fryech01,22.048,C-F,us,University of Arizona,2006,2018,817,23.1,9.1,4.7,1.0,0.5,0.6,.441,.475,.389,.822,37.7,.096
168,2006,NBA,1,8,HOU,Rudy Gay\gayru01,19.320,F,us,University of Connecticut,2007,2018,771,35.3,18.3,5.9,2.3,1.3,0.8,.452,.479,.345,.796,48.3,.085
169,2007,NBA,1,8,CHA,Brandan Wright\wrighbr03,19.271,F-C,us,University of North Carolina,2008,2018,415,16.4,7.0,3.7,0.5,0.5,1.0,.607,.610,.000,.675,25.9,.183
170,2008,NBA,1,8,MIL,Joe Alexander\alexajo01,21.188,F,tw,West Virginia University,2009,2010,67,11.1,4.2,1.8,0.7,0.2,0.4,.410,.426,.340,.698,0.5,.030
171,2009,NBA,1,8,NYK,Jordan Hill\hilljo01,21.339,C-F,us,University of Arizona,2010,2017,409,18.8,7.9,5.8,0.8,0.4,0.7,.497,.499,.136,.699,16.4,.102
172,2010,NBA,1,8,LAC,Al-Farouq Aminu\aminual01,19.281,F,us,Wake Forest University,2011,2018,528,24.2,7.3,5.7,1.2,0.9,0.6,.426,.467,.327,.727,18.4,.069
173,2011,NBA,1,8,DET,Brandon Knight\knighbr03,19.208,G,us,University of Kentucky,2012,2017,382,31.3,15.2,3.3,4.3,0.9,0.2,.415,.445,.357,.812,11.6,.047
174,2012,NBA,1,8,TOR,Terrence Ross\rosste01,21.149,F-G,us,University of Washington,2013,2018,405,23.9,9.6,2.7,1.0,0.8,0.3,.422,.475,.372,.799,15.0,.074
175,2013,NBA,1,8,DET,Kentavious Caldwell-Pope\caldwke01,20.134,G,us,University of Georgia,2014,2018,331,30.4,11.7,3.1,1.6,1.2,0.2,.406,.461,.335,.782,15.7,.075
176,2014,NBA,1,8,SAC,Nik Stauskas\stausni01,20.267,G,ca,University of Michigan,2015,2018,229,22.5,7.4,2.2,1.7,0.5,0.3,.386,.441,.343,.808,2.4,.022
177,2015,NBA,1,8,DET,Stanley Johnson\johnsst04,19.031,F,us,University of Arizona,2016,2018,164,21.2,6.4,3.3,1.5,0.8,0.2,.368,.411,.300,.740,1.4,.019
178,2016,NBA,1,8,SAC,Marquese Chriss\chrisma01,18.361,F,us,University of Washington,2017,2018,101,21.0,8.7,4.3,0.8,0.8,0.9,.443,.510,.325,.635,2.1,.047
179,1992,NBA,1,9,PHI,Clarence Weatherspoon\weathcl01,21.295,F,us,University of Southern Mississippi,1993,2005,915,30.3,11.5,7.5,1.5,1.0,0.9,.471,.473,.196,.743,58.4,.101
180,1993,NBA,1,9,DEN,Rodney Rogers\rogerro01,22.016,F,us,Wake Forest University,1994,2005,866,25.3,10.9,4.5,2.0,1.0,0.5,.451,.486,.347,.690,38.8,.085
181,1994,NBA,1,9,BOS,Eric Montross\montrer01,22.285,C,us,University of North Carolina,1995,2002,465,18.2,4.5,4.6,0.4,0.3,0.6,.490,.491,.000,.478,8.5,.048
182,1995,NBA,1,9,NJN,Ed O'Bannon\obanned01,22.323,F,us,University of California Los Angeles,1996,1997,128,16.1,5.0,2.5,0.8,0.6,0.2,.367,.400,.222,.755,1.1,.025
183,1996,NBA,1,9,DAL,Samaki Walker\walkesa01,20.127,F,us,University of Louisville,1997,2006,445,17.1,5.3,4.7,0.6,0.3,0.7,.462,.464,.111,.630,14.2,.089
184,1999,NBA,1,9,PHO,Shawn Marion\mariosh01,21.059,F,us,University of Nevada Las Vegas,2000,2015,1163,34.5,15.2,8.7,1.9,1.5,1.1,.484,.513,.331,.810,124.9,.150
185,2000,NBA,1,9,HOU,Joel Przybilla\przybjo01,20.267,C,us,University of Minnesota,2001,2013,592,19.8,3.9,6.2,0.4,0.3,1.4,.552,.553,.000,.557,23.0,.094
186,2001,NBA,1,9,DET,Rodney White\whitero02,21.004,F,us,University of North Carolina at Charlotte,2002,2005,218,15.4,7.1,2.2,1.1,0.5,0.3,.424,.452,.314,.749,1.8,.026
187,2003,NBA,1,9,NYK,Mike Sweetney\sweetmi01,20.249,F,us,Georgetown University,2004,2007,233,15.5,6.5,4.5,0.6,0.3,0.5,.485,.485,.000,.689,7.8,.103
188,2004,NBA,1,9,PHI,Andre Iguodala\iguodan01,20.153,G-F,us,University of Arizona,2005,2018,992,34.5,12.9,5.2,4.5,1.6,0.5,.465,.515,.335,.714,89.8,.126
189,2005,NBA,1,9,GSW,Ike Diogu\dioguik01,21.296,F,us,Arizona State University,2006,2012,225,12.4,6.0,3.1,0.3,0.2,0.3,.509,.509,.500,.786,6.5,.112
190,2006,NBA,1,9,GSW,Patrick O'Bryant\obryapa01,20.013,C,us,Bradley University,2007,2010,90,5.8,2.1,1.4,0.3,0.2,0.4,.494,.503,.000,.583,0.5,.046
191,2007,NBA,1,9,CHI,Joakim Noah\noahjo01,22.128,C,us,University of Florida,2008,2017,618,28.9,9.0,9.4,2.9,0.8,1.4,.490,.492,.000,.699,59.6,.160
192,2008,NBA,1,9,CHA,D.J. Augustin\augusdj01,20.234,G,us,University of Texas at Austin,2009,2018,662,23.6,9.5,1.8,3.8,0.6,0.0,.402,.425,.371,.861,31.6,.097
193,2009,NBA,1,9,TOR,DeMar DeRozan\derozde01,19.327,G,us,University of Southern California,2010,2018,612,34.1,19.4,4.1,2.8,1.0,0.3,.448,.465,.283,.827,46.5,.107
194,2010,NBA,1,9,UTA,Gordon Hayward\haywago01,20.098,F-G,us,Butler University,2011,2018,517,31.3,15.6,4.2,3.4,1.0,0.4,.444,.478,.368,.820,43.1,.128
195,2011,NBA,1,9,CHA,Kemba Walker\walkeke02,21.051,G,us,University of Connecticut,2012,2018,460,33.9,18.5,3.9,5.4,1.3,0.4,.413,.442,.353,.830,35.2,.108
196,2012,NBA,1,9,DET,Andre Drummond\drumman01,18.327,C,us,University of Connecticut,2013,2018,402,29.8,13.3,12.9,0.8,1.2,1.5,.547,.548,.263,.391,38.0,.152
197,2013,NBA,1,9,MIN,Trey Burke\burketr01,20.232,G,us,University of Michigan,2014,2017,267,24.8,10.6,2.1,3.6,0.6,0.1,.390,.423,.337,.813,5.9,.043
198,2014,NBA,1,9,CHH,Noah Vonleh\vonleno01,18.311,F,us,Indiana University,2015,2018,188,15.6,4.0,4.6,0.4,0.3,0.4,.448,.469,.291,.685,4.1,.068
199,2015,NBA,1,9,CHO,Frank Kaminsky\kaminfr01,22.087,F-C,us,University of Wisconsin,2016,2018,172,23.6,9.7,4.3,1.7,0.5,0.5,.406,.458,.331,.748,6.2,.074
200,2016,NBA,1,9,TOR,Jakob Poeltl\poeltja01,20.257,C,at,University of Utah,2017,2018,71,12.3,3.7,3.4,0.3,0.3,0.5,.607,.607,,.519,2.5,.138
201,2017,NBA,1,9,DAL,Dennis Smith\smithde03,19.214,G,us,North Carolina State University,2018,2018,17,28.5,14.3,4.2,4.4,0.9,0.4,.381,.424,.299,.658,-0.7,-0.068
202,1992,NBA,1,10,ATL,Adam Keefe\keefead01,22.128,F,us,Stanford University,1993,2001,617,16.7,5.0,4.1,0.7,0.5,0.3,.502,.505,.071,.714,24.9,.116
203,1993,NBA,1,10,DET,Lindsey Hunter\hunteli01,22.215,G,us,Jackson State University,1994,2010,937,24.8,8.5,2.2,2.7,1.2,0.2,.388,.405,.360,.746,32.9,.068
204,1994,NBA,1,10,LAL,Eddie Jones\jonesed02,22.258,G-F,us,Temple University,1995,2008,954,34.4,14.8,4.0,2.9,1.7,0.6,.437,.474,.373,.809,100.6,.147
205,1995,NBA,1,10,MIA,Kurt Thomas\thomaku01,22.272,F,us,Texas Christian University,1996,2013,1110,24.5,8.1,6.6,1.1,0.7,0.8,.486,.487,.281,.760,64.2,.114
206,1996,NBA,1,10,IND,Erick Dampier\dampier01,20.353,C,us,Mississippi State University,1997,2012,987,24.3,7.4,7.1,0.8,0.3,1.4,.498,.499,.125,.626,52.7,.105
207,1997,NBA,1,10,MIL,Danny Fortson\fortsda01,21.095,F,us,University of Cincinnati,1998,2007,440,20.1,8.2,7.2,0.7,0.4,0.2,.472,.473,.167,.785,22.3,.121
208,1998,NBA,1,10,BOS,Paul Pierce\piercpa01,20.259,F-G,us,University of Kansas,1999,2017,1343,34.2,19.7,5.6,3.5,1.3,0.6,.445,.478,.368,.806,150.0,.157
209,1999,NBA,1,10,ATL,Jason Terry\terryja01,21.293,G,us,University of Arizona,2000,2018,1365,30.2,13.7,2.4,3.9,1.1,0.2,.444,.484,.380,.845,101.2,.118
210,2000,NBA,1,10,ORL,Keyon Dooling\doolike01,20.056,G,us,University of Missouri,2001,2013,728,19.4,7.0,1.3,2.2,0.6,0.1,.416,.443,.349,.799,18.5,.063
211,2001,NBA,1,10,BOS,Joe Johnson\johnsjo02,20.003,G-F,us,University of Arkansas,2002,2018,1228,35.1,16.3,4.0,4.0,0.9,0.2,.442,.472,.373,.801,81.8,.091
212,2002,NBA,1,10,MIA,Caron Butler\butleca01,22.110,F,us,University of Connecticut,2003,2016,881,32.2,14.1,5.0,2.3,1.3,0.2,.434,.456,.348,.847,50.9,.086
213,2003,NBA,1,10,WAS,Jarvis Hayes\hayesja01,21.326,F,us,University of Georgia,2004,2010,427,23.2,8.3,3.1,1.1,0.7,0.1,.415,.444,.356,.798,10.2,.049
214,2004,NBA,1,10,CLE,Luke Jackson\jackslu02,22.236,F,us,University of Oregon,2005,2008,73,9.9,3.5,1.2,0.8,0.3,0.0,.357,.356,.360,.732,0.2,.010
215,2007,NBA,1,10,SAC,Spencer Hawes\hawessp01,19.065,C-F,us,University of Washington,2008,2017,684,22.7,8.7,5.7,1.9,0.4,1.0,.457,.482,.350,.716,22.6,.070
216,2008,NBA,1,10,NJN,Brook Lopez\lopezbr01,20.091,C,us,Stanford University,2009,2018,581,32.0,18.4,7.1,1.6,0.6,1.7,.504,.516,.326,.795,50.8,.131
217,2010,NBA,1,10,IND,Paul George\georgpa01,20.058,F,us,California State University Fresno,2011,2018,465,32.9,18.2,6.3,3.1,1.7,0.4,.433,.469,.373,.848,46.6,.146
218,2011,NBA,1,10,MIL,Jimmer Fredette\fredeji01,22.123,G,us,Brigham Young University,2012,2016,235,13.4,6.0,1.0,1.4,0.4,0.0,.412,.432,.381,.876,2.4,.037
219,2012,NBA,1,10,NOH,Austin Rivers\riverau01,19.336,G,us,Duke University,2013,2018,364,23.1,8.6,2.0,2.2,0.7,0.1,.414,.444,.351,.649,5.8,.033
220,2013,NBA,1,10,POR,C.J. McCollum\mccolcj01,21.287,G,us,Lehigh University,2014,2018,277,27.6,16.2,2.7,2.7,0.9,0.3,.458,.477,.420,.846,17.9,.112
221,2014,NBA,1,10,PHI,Elfrid Payton\paytoel01,20.129,G,us,University of Louisiana at Lafayette,2015,2018,246,29.6,10.7,4.2,6.5,1.4,0.3,.446,.468,.288,.605,9.0,.060
222,2015,NBA,1,10,MIA,Justise Winslow\winslju01,19.095,F,us,Duke University,2016,2018,113,28.8,7.2,5.2,1.9,1.0,0.3,.406,.446,.260,.665,3.0,.044
223,2017,NBA,1,10,SAC,Zach Collins\colliza01,19.220,C-F,us,Gonzaga University,2018,2018,6,5.3,0.5,1.0,0.3,0.0,0.0,.111,.000,.333,,-0.2,-0.328
224,1992,NBA,1,11,HOU,Robert Horry\horryro01,21.309,F,us,University of Alabama,1993,2008,1107,24.5,7.0,4.8,2.1,1.0,0.9,.425,.469,.341,.726,66.3,.118
225,1993,NBA,1,11,DET,Allan Houston\houstal01,22.077,G,us,University of Tennessee,1994,2005,839,33.7,17.3,2.9,2.4,0.7,0.2,.444,.460,.402,.863,55.3,.094
226,1994,NBA,1,11,SEA,Carlos Rogers\rogerca01,23.149,C-F,us,Tennessee State University,1995,2002,298,19.0,7.4,4.3,0.6,0.4,0.8,.536,.558,.258,.562,11.1,.095
227,1995,NBA,1,11,MIL,Gary Trent\trentga01,20.284,F,us,Ohio University,1996,2004,506,19.5,8.6,4.5,1.0,0.4,0.3,.501,.507,.080,.643,23.2,.113
228,1996,NBA,1,11,GSW,Todd Fuller\fulleto02,21.342,C,us,North Carolina State University,1997,2001,225,11.1,3.7,3.0,0.2,0.2,0.3,.422,.424,.000,.668,2.2,.041
229,1997,NBA,1,11,SAC,Tariq Abdul-Wahad\abdulta01,22.240,F,fr,San Jose State University,1998,2003,236,20.4,7.8,3.3,1.1,0.8,0.4,.417,.425,.237,.703,3.5,.035
230,1998,NBA,1,11,DET,Bonzi Wells\wellsbo01,21.274,G-F,us,Ball State University,1999,2008,591,25.6,12.1,4.6,2.1,1.3,0.3,.460,.477,.327,.697,29.4,.093
231,1999,NBA,1,11,CLE,Trajan Langdon\langdtr01,23.053,G,us,Duke University,2000,2002,119,14.6,5.4,1.3,1.3,0.5,0.1,.416,.429,.396,.910,2.9,.079
232,2000,NBA,1,11,BOS,Jerome Moiso\moisoje01,22.019,F-C,fr,University of California Los Angeles,2001,2005,145,9.6,2.7,2.7,0.3,0.3,0.5,.489,.494,.000,.593,2.1,.074
233,2001,NBA,1,11,BOS,Kedrick Brown\brownke01,20.106,G,us,Okaloosa-Walton Community College,2002,2005,143,13.5,3.6,2.4,0.7,0.6,0.2,.405,.471,.274,.640,3.0,.074
234,2002,NBA,1,11,WAS,Jared Jeffries\jeffrja01,20.218,F,us,Indiana University,2003,2013,629,21.6,4.8,4.1,1.3,0.7,0.5,.426,.447,.250,.583,13.1,.046
235,2006,NBA,1,11,ORL,J.J. Redick\redicjj01,22.009,G,us,Duke University,2007,2018,705,25.1,12.0,1.9,1.9,0.5,0.1,.447,.480,.414,.888,47.7,.130
236,2007,NBA,1,11,ATL,Acie Law\lawac01,22.159,G,us,Texas A&M University,2008,2011,188,12.7,3.9,1.0,1.6,0.4,0.0,.413,.452,.235,.778,1.6,.032
237,2008,NBA,1,11,IND,Jerryd Bayless\bayleje01,19.315,G,us,University of Arizona,2009,2018,524,21.4,8.6,2.1,2.9,0.6,0.1,.415,.437,.366,.825,18.0,.077
238,2009,NBA,1,11,NJN,Terrence Williams\willite01,22.003,F,us,University of Louisville,2010,2013,153,19.1,7.1,3.6,2.4,0.5,0.1,.412,.432,.317,.659,-0.2,-0.004
239,2010,NBA,1,11,NOH,Cole Aldrich\aldrico01,21.241,C,us,University of Kansas,2011,2018,323,10.4,3.2,3.5,0.6,0.4,0.7,.530,.530,,.746,9.5,.137
240,2011,NBA,1,11,GSW,Klay Thompson\thompkl01,21.140,G-F,us,Washington State University,2012,2018,482,32.7,19.1,3.4,2.3,0.9,0.5,.454,.481,.420,.853,38.0,.116
241,2012,NBA,1,11,POR,Meyers Leonard\leoname01,20.127,C-F,us,University of Illinois at Urbana-Champaign,2013,2018,305,16.5,5.7,3.9,0.8,0.2,0.3,.463,.523,.372,.819,9.6,.092
242,2013,NBA,1,11,PHI,Michael Carter-Williams\cartemi01,21.266,G,us,Syracuse University,2014,2018,241,29.6,12.8,5.1,5.4,1.5,0.6,.406,.437,.254,.697,3.8,.025
243,2014,NBA,1,11,DEN,Doug McDermott\mcderdo01,22.180,F,us,Creighton University,2015,2018,200,20.4,8.0,2.3,0.7,0.2,0.1,.449,.484,.397,.836,6.2,.073
244,2015,NBA,1,11,IND,Myles Turner\turnemy01,19.097,C-F,us,University of Texas at Austin,2016,2018,152,27.8,12.8,6.6,1.1,0.7,1.9,.503,.521,.338,.782,11.9,.135
245,2016,NBA,1,11,ORL,Domantas Sabonis\sabondo01,20.056,F,us,Gonzaga University,2017,2018,97,21.0,7.0,4.5,1.3,0.4,0.4,.442,.484,.325,.689,2.2,.052
246,2017,NBA,1,11,CHO,Malik Monk\monkma01,19.143,G,us,University of Kentucky,2018,2018,15,18.5,8.2,1.7,1.7,0.3,0.1,.346,.364,.333,.800,-0.1,-0.014
247,1992,NBA,1,12,MIA,Harold Miner\minerha01,21.056,G,us,University of Southern California,1993,1996,200,18.7,9.0,2.2,1.2,0.4,0.1,.460,.468,.311,.785,4.2,.053
248,1993,NBA,1,12,LAL,George Lynch\lynchge01,22.306,F,us,University of North Carolina,1994,2005,774,22.8,6.6,5.0,1.4,1.1,0.3,.446,.462,.306,.652,32.3,.088
249,1994,NBA,1,12,MIA,Khalid Reeves\reevekh01,21.354,G,us,University of Arizona,1995,2000,277,21.1,7.8,2.1,3.2,0.8,0.1,.416,.446,.363,.744,8.4,.069
250,1995,NBA,1,12,DAL,Cherokee Parks\parksch02,22.265,C-F,us,Duke University,1996,2004,472,15.8,4.4,3.6,0.6,0.4,0.6,.470,.475,.211,.630,11.8,.076
251,1996,NBA,1,12,CLE,Vitaly Potapenko\potapvi01,21.103,C,ua,Wright State University,1997,2007,610,19.0,6.5,4.5,0.7,0.4,0.3,.479,.479,.167,.694,15.5,.064
252,1997,NBA,1,12,IND,Austin Croshere\croshau01,22.061,F,us,Providence College,1998,2009,659,17.4,6.8,4.0,1.0,0.4,0.3,.407,.443,.340,.861,27.6,.115
253,1998,NBA,1,12,ORL,Michael Doleac\doleami01,21.014,C,us,University of Utah,1999,2008,587,15.0,4.9,3.3,0.6,0.3,0.4,.439,.440,.125,.791,12.7,.070
254,1999,NBA,1,12,TOR,Aleksandar Radojevic\radojal01,22.331,C,me,Barton County Community College,2000,2005,15,10.1,1.7,2.4,0.5,0.1,0.2,.308,.308,,.625,-0.4,-0.130
255,2000,NBA,1,12,DAL,Etan Thomas\thomaet01,22.094,F,us,Syracuse University,2002,2011,409,17.3,5.7,4.7,0.4,0.3,1.0,.513,.513,,.603,14.9,.101
256,2002,NBA,1,12,LAC,Melvin Ely\elyme01,24.061,C,us,California State University Fresno,2003,2014,375,16.0,5.3,3.2,0.7,0.3,0.6,.460,.461,.000,.625,4.0,.032
257,2003,NBA,1,12,SEA,Nick Collison\collini01,22.248,F,us,University of Kansas,2005,2018,896,20.7,5.9,5.2,1.0,0.5,0.5,.533,.541,.208,.726,44.4,.115
258,2006,NBA,1,12,NOK,Hilton Armstrong\armsthi01,21.234,F-C,us,University of Connecticut,2007,2014,292,11.6,3.0,2.6,0.3,0.3,0.5,.501,.503,.286,.582,3.9,.055
259,2007,NBA,1,12,PHI,Thaddeus Young\youngth01,19.011,F,us,Georgia Institute of Technology,2008,2018,757,30.6,13.6,5.9,1.5,1.4,0.4,.499,.521,.329,.678,48.4,.100
260,2008,NBA,1,12,SAC,Jason Thompson\thompja02,21.346,F-C,us,Rider University,2009,2016,588,25.2,8.9,6.6,1.1,0.5,0.7,.496,.500,.143,.657,23.8,.077
261,2009,NBA,1,12,CHA,Gerald Henderson\hendege02,21.204,G,us,Duke University,2010,2017,535,25.9,11.2,3.2,1.9,0.7,0.3,.440,.460,.327,.793,18.3,.063
262,2010,NBA,1,12,MEM,Xavier Henry\henryxa01,19.106,G,be,University of Kansas,2011,2015,185,15.7,5.7,1.9,0.6,0.5,0.1,.406,.419,.325,.635,0.8,.013
263,2011,NBA,1,12,UTA,Alec Burks\burksal01,19.343,G,us,University of Colorado,2012,2018,319,21.7,9.9,2.9,1.7,0.6,0.2,.425,.443,.359,.756,9.8,.068
264,2012,NBA,1,12,HOU,Jeremy Lamb\lambje01,20.034,G-F,us,University of Connecticut,2013,2018,293,17.7,8.5,3.1,1.3,0.6,0.3,.442,.506,.332,.827,12.1,.112
265,2013,NBA,1,12,OKC,Steven Adams\adamsst01,19.347,C,nz,University of Pittsburgh,2014,2018,325,24.0,7.8,6.5,0.8,0.7,1.0,.573,.574,.000,.578,21.9,.135
266,2015,NBA,1,12,UTA,Trey Lyles\lylestr01,19.237,F,ca,University of Kentucky,2016,2018,164,16.1,6.0,3.4,0.8,0.3,0.3,.404,.441,.345,.707,3.2,.058
267,2016,NBA,1,12,UTA,Taurean Prince\princta02,22.099,F,us,Baylor University,2017,2018,77,20.1,7.3,3.2,1.3,0.9,0.5,.418,.448,.364,.758,1.2,.038
268,2017,NBA,1,12,DET,Luke Kennard\kennalu01,21.003,G,us,Duke University,2018,2018,12,15.4,5.8,1.9,0.9,0.7,0.1,.438,.474,.385,.571,0.1,.025
269,1992,NBA,1,13,DEN,Bryant Stith\stithbr01,21.202,G,us,University of Virginia,1993,2002,586,28.0,10.1,3.4,2.0,1.0,0.2,.424,.447,.329,.841,29.5,.086
270,1993,NBA,1,13,LAC,Terry Dehere\deherte01,21.297,G,us,Seton Hall University,1994,1999,402,18.2,8.0,1.5,2.6,0.5,0.1,.411,.427,.378,.779,7.3,.048
271,1994,NBA,1,13,DEN,Jalen Rose\roseja01,21.155,G-F,us,University of Michigan,1995,2007,923,30.3,14.3,3.5,3.8,0.8,0.3,.443,.464,.355,.801,47.2,.081
272,1995,NBA,1,13,SAC,Corliss Williamson\willico02,21.211,F,us,University of Arkansas,1996,2007,822,22.8,11.1,3.9,1.2,0.6,0.3,.490,.492,.136,.714,34.7,.089
273,1997,NBA,1,13,CLE,Derek Anderson\anderde01,22.348,G,us,University of Kentucky,1998,2008,615,29.2,12.0,3.2,3.4,1.1,0.1,.408,.440,.341,.853,43.9,.117
274,1998,NBA,1,13,ORL,Keon Clark\clarkke01,23.075,F-C,us,University of Nevada Las Vegas,1999,2004,353,22.6,8.2,5.9,0.9,0.5,1.6,.500,.503,.053,.645,18.2,.110
275,1999,NBA,1,13,SEA,Corey Maggette\maggeco01,19.235,F,us,Duke University,2000,2013,827,28.2,16.0,4.9,2.1,0.7,0.2,.453,.478,.324,.822,62.2,.128
276,2000,NBA,1,13,ORL,Courtney Alexander\alexaco02,23.068,G,us,California State University Fresno,2001,2003,187,21.7,9.0,2.2,1.2,0.6,0.1,.422,.429,.339,.813,4.1,.048
